invoice_id,branch,city,customer_type,gender,product_line,unit_price
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78
