invoice_id,quantity,tax_5_percent,total,date,time,payment
750-67-8428,7,26.1415,548.9715,01-05-2019,13:08:00,Ewallet
226-31-3081,5,3.82,80.22,03-08-2019,10:29:00,Cash
631-41-3108,7,16.2155,340.5255,03-03-2019,13:23:00,Credit card
123-19-1176,8,23.288,489.048,1/27/2019,20:33:00,Ewallet
373-73-7910,7,30.2085,634.3785,02-08-2019,10:37:00,Ewallet
699-14-3026,7,29.8865,627.6165,3/25/2019,18:30:00,Ewallet
355-53-5943,6,20.652,433.692,2/25/2019,14:36:00,Ewallet
315-22-5665,10,36.78,772.38,2/24/2019,11:38:00,Ewallet
665-32-9167,2,3.626,76.146,01-10-2019,17:15:00,Credit card
692-92-5582,3,8.226,172.746,2/20/2019,13:27:00,Credit card
351-62-0822,4,2.896,60.816,02-06-2019,18:07:00,Ewallet
529-56-3974,4,5.102,107.142,03-09-2019,17:03:00,Cash
365-64-0515,5,11.7375,246.4875,02-12-2019,10:25:00,Ewallet
252-56-2699,10,21.595,453.495,02-07-2019,16:48:00,Ewallet
829-34-3910,10,35.69,749.49,3/29/2019,19:21:00,Cash
299-46-1805,6,28.116,590.436,1/15/2019,16:19:00,Cash
656-95-9349,7,24.1255,506.6355,03-11-2019,11:03:00,Credit card
765-26-6951,6,21.783,457.443,01-01-2019,10:39:00,Credit card
329-62-1586,3,8.2005,172.2105,1/21/2019,18:00:00,Credit card
319-50-3348,2,4.03,84.63,03-11-2019,15:30:00,Ewallet
300-71-4605,5,21.51,451.71,2/25/2019,11:24:00,Ewallet
371-85-5789,3,13.197,277.137,03-05-2019,10:40:00,Ewallet
273-16-6619,2,3.32,69.72,3/15/2019,12:20:00,Credit card
636-48-8204,5,8.64,181.44,2/17/2019,11:15:00,Ewallet
549-59-1358,3,13.2945,279.1845,03-02-2019,17:36:00,Ewallet
227-03-5010,8,21.036,441.756,3/22/2019,19:20:00,Credit card
649-29-6775,1,1.676,35.196,02-08-2019,15:31:00,Cash
189-17-4241,2,8.767,184.107,03-10-2019,12:17:00,Credit card
145-94-9061,5,22.09,463.89,1/25/2019,19:48:00,Cash
848-62-7243,9,11.2005,235.2105,3/15/2019,15:36:00,Cash
871-79-8483,5,23.5325,494.1825,2/25/2019,19:39:00,Credit card
149-71-6266,9,35.1315,737.7615,1/28/2019,12:43:00,Cash
640-49-2076,8,33.512,703.752,01-10-2019,14:49:00,Cash
595-11-5460,2,9.658,202.818,3/15/2019,10:12:00,Credit card
183-56-6882,4,19.884,417.564,02-06-2019,10:42:00,Ewallet
232-16-2483,1,3.406,71.526,01-07-2019,12:28:00,Ewallet
129-29-8530,5,15.655,328.755,03-10-2019,19:15:00,Ewallet
272-65-1806,9,27.396,575.316,1/15/2019,17:17:00,Ewallet
333-73-7901,8,21.968,461.328,3/23/2019,13:24:00,Ewallet
777-82-7220,8,12.048,253.008,03-03-2019,13:01:00,Cash
280-35-5823,1,4.336,91.056,1/17/2019,18:45:00,Ewallet
554-53-8700,2,5.611,117.831,02-02-2019,10:11:00,Cash
354-25-5821,6,20.736,435.456,02-08-2019,13:03:00,Cash
228-96-1411,8,39.48,829.08,03-04-2019,20:39:00,Cash
617-15-4209,2,1.537,32.277,3/16/2019,19:47:00,Cash
132-32-9879,4,18.792,394.632,03-09-2019,18:00:00,Cash
370-41-7321,9,25.5105,535.7205,2/27/2019,17:24:00,Credit card
727-46-3608,9,9.0045,189.0945,02-06-2019,15:47:00,Ewallet
669-54-1719,6,5.679,119.259,02-10-2019,12:45:00,Credit card
574-22-5561,10,41.315,867.615,3/19/2019,17:08:00,Ewallet
326-78-5178,7,31.99,671.79,02-03-2019,10:19:00,Cash
162-48-8011,5,11.1475,234.0975,02-10-2019,15:10:00,Cash
616-24-2851,4,3.574,75.054,3/22/2019,14:42:00,Ewallet
778-71-5554,1,0.7715,16.2015,1/25/2019,15:46:00,Credit card
242-55-6721,2,1.616,33.936,03-07-2019,11:49:00,Ewallet
399-46-5918,8,34.392,722.232,2/28/2019,19:01:00,Cash
106-35-6779,2,4.434,93.114,3/27/2019,11:26:00,Cash
635-40-6220,8,35.84,752.64,02-07-2019,11:28:00,Ewallet
817-48-8732,10,36.175,759.675,1/20/2019,15:55:00,Cash
120-06-4233,6,9.183,192.843,03-12-2019,20:36:00,Cash
285-68-5083,3,3.711,77.931,2/15/2019,17:47:00,Credit card
803-83-5989,6,16.719,351.099,2/24/2019,10:55:00,Ewallet
347-34-2234,9,24.7815,520.4115,02-03-2019,13:40:00,Ewallet
199-75-8169,10,7.905,166.005,03-06-2019,12:27:00,Credit card
853-23-2453,4,15.148,318.108,2/14/2019,14:35:00,Cash
877-22-3308,10,7.935,166.635,3/13/2019,16:40:00,Cash
838-78-4295,2,3.347,70.287,02-10-2019,15:43:00,Ewallet
109-28-2512,6,29.283,614.943,01-07-2019,15:01:00,Ewallet
232-11-3025,10,39.385,827.085,1/24/2019,10:04:00,Cash
382-03-4532,1,0.9165,19.2465,02-02-2019,18:50:00,Cash
393-65-2792,10,44.74,939.54,01-06-2019,12:46:00,Credit card
796-12-2025,10,31.06,652.26,02-11-2019,16:19:00,Cash
510-95-6347,3,7.278,152.838,03-05-2019,18:17:00,Ewallet
841-35-6630,6,22.773,478.233,03-09-2019,18:21:00,Cash
287-21-9091,9,33.6015,705.6315,1/22/2019,10:55:00,Ewallet
732-94-0499,10,20.825,437.325,1/13/2019,17:04:00,Credit card
263-10-3913,9,22.068,463.428,01-09-2019,14:20:00,Credit card
381-20-0914,9,9.0045,189.0945,01-12-2019,15:48:00,Credit card
829-49-1914,10,39.155,822.255,03-05-2019,16:24:00,Ewallet
756-01-7507,5,5.095,106.995,1/22/2019,18:56:00,Cash
870-72-4431,6,29.757,624.897,1/21/2019,14:42:00,Credit card
847-38-7188,3,14.502,304.542,1/26/2019,19:56:00,Ewallet
480-63-2856,8,7.7,161.7,1/23/2019,18:37:00,Ewallet
787-56-0757,4,16.072,337.512,2/23/2019,18:45:00,Credit card
360-39-5055,5,12.2275,256.7775,03-09-2019,10:17:00,Cash
730-50-9884,7,29.071,610.491,03-05-2019,14:31:00,Ewallet
362-58-8315,5,19.13,401.73,3/25/2019,10:23:00,Cash
633-44-8566,7,17.283,362.943,3/27/2019,20:35:00,Credit card
504-35-8843,1,2.1235,44.5935,01-02-2019,16:57:00,Cash
318-68-5053,6,23.097,485.037,2/27/2019,17:55:00,Cash
565-80-5980,4,9.476,198.996,1/23/2019,10:25:00,Cash
225-32-0908,10,22.43,471.03,1/26/2019,19:54:00,Ewallet
873-51-0671,7,7.693,161.553,01-10-2019,16:42:00,Ewallet
152-08-9985,9,28.962,608.202,03-12-2019,12:09:00,Credit card
